
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   7712 Console                    1     14,396 K
svchost.exe                   1192 Services                   0     12,928 K
svchost.exe                  10844 Services                   0     16,188 K
svchost.exe                    936 Services                   0     13,124 K
svchost.exe                  11792 Services                   0      8,208 K
OneDrive.Sync.Service.exe    10908 Console                    1     16,656 K
backgroundTaskHost.exe       10564 Console                    1      2,564 K
RuntimeBroker.exe            11224 Console                    1      9,724 K
msedgewebview2.exe            9584 Console                    1        536 K
SnippingTool.exe              3492 Console                    1     97,384 K
backgroundTaskHost.exe        5748 Console                    1     60,072 K
RuntimeBroker.exe             6196 Console                    1     29,576 K
TeamViewer_Service.exe       11788 Services                   0     45,308 K
crashpad_handler.exe          1452 Services                   0      6,672 K
TeamViewer.exe               11052 Console                    1    145,116 K
tv_w32.exe                    3600 Console                    1     12,112 K
tv_x64.exe                    8492 Console                    1     12,868 K
msedgewebview2.exe            9968 Console                    1    116,876 K
crashpad_handler.exe         10916 Console                    1     10,052 K
msedgewebview2.exe            2700 Console                    1     14,132 K
msedgewebview2.exe            8016 Console                    1    108,988 K
msedgewebview2.exe            9016 Console                    1     39,152 K
msedgewebview2.exe            8992 Console                    1     22,776 K
msedgewebview2.exe           12132 Console                    1    142,436 K
svchost.exe                   6068 Services                   0     19,396 K
notepad++.exe                 8224 Console                    1     73,500 K
audiodg.exe                   8608 Services                   0     16,428 K
TeamViewer_Desktop.exe        7192 Console                    1    279,384 K
crashpad_handler.exe          7888 Console                    1     10,084 K
smartscreen.exe               7096 Console                    1     12,984 K
svchost.exe                   5688 Services                   0      9,988 K
svchost.exe                   4504 Services                   0     33,636 K
cncr.exe                      4692 Console                    1    151,216 K
VirtualControlPanel.exe       6760 Console                    1     87,164 K
cmd.exe                       6580 Console                    1      4,688 K
conhost.exe                  10972 Console                    1      9,896 K
OpenConsole.exe              11212 Console                    1     15,556 K
WindowsTerminal.exe           7608 Console                    1     86,380 K
tasklist.exe                  8304 Console                    1     11,672 K
WmiPrvSE.exe                 11388 Services                   0     14,452 K
